,month,statement_policy_change,bluebook_treatment_size_alt_a,bluebook_treatment_size_alt_b,bluebook_treatment_size_alt_c,UNRATE,PCEPI,INDPRO,end_date,event_type
0,1988-02-01,,-0.5,0,0.5,5.7,57.135,62.4169,meeting_end_date,Meeting
1,1988-03-01,,0,0,0.5,5.7,57.332,62.5418,meeting_end_date,Meeting
2,1988-05-01,,-0.5,0,0.5,5.6,57.778,62.8223,meeting_end_date,Meeting
3,1988-06-01,,-0.25,0,0.5,5.4,58.024,62.9823,meeting_end_date,Meeting
4,1988-08-01,,N,0,0.5,5.6,58.479,63.2723,meeting_end_date,Meeting
5,1988-09-01,,-0.5,0,0.5,5.4,58.764,63.099,meeting_end_date,Meeting
6,1988-11-01,,-0.5,0,0.5,5.3,59.092,63.5128,meeting_end_date,Meeting
7,1988-12-01,,N,0,0.5,5.3,59.277,63.8233,meeting_end_date,Meeting
8,1989-02-01,,N,0,0.5,5.2,59.779,63.7242,meeting_end_date,Meeting
9,1989-03-01,,-0.5,0,0.5,5.0,60.002,63.8691,meeting_end_date,Meeting
10,1989-05-01,,-0.25,0,0.5,5.2,60.622,63.4884,meeting_end_date,Meeting
11,1989-07-01,,-0.5,0,0.25,5.2,60.9,62.9354,meeting_end_date,Meeting
12,1989-08-01,,-0.5,0,0.5,5.2,60.907,63.5168,meeting_end_date,Meeting
13,1989-10-01,,-0.5,0,0.5,5.3,61.28100000000001,63.2542,meeting_end_date,Meeting
14,1989-11-01,,-0.5,0,N,5.4,61.415,63.4616,meeting_end_date,Meeting
15,1989-12-01,,-0.5,0,0.5,5.4,61.593,63.8467,meeting_end_date,Meeting
16,1990-02-01,,-0.5,0,0.5,5.3,62.333,64.0446,meeting_end_date,Meeting
17,1990-03-01,,-0.5,0,0.5,5.2,62.56800000000001,64.358,meeting_end_date,Meeting
18,1990-05-01,,-0.5,0,0.5,5.4,62.84,64.3973,meeting_end_date,Meeting
19,1990-07-01,,-0.5,0,0.5,5.5,63.274,64.5205,meeting_end_date,Meeting
20,1990-08-01,,-0.5,0,0.5,5.7,63.695,64.7326,meeting_end_date,Meeting
21,1990-10-01,,-0.5,0,0.5,5.9,64.453,64.3274,meeting_end_date,Meeting
22,1990-11-01,,-0.5,0,0.25,6.2,64.53399999999999,63.5753,meeting_end_date,Meeting
23,1990-12-01,,-0.5,0,N,6.3,64.595,63.1594,meeting_end_date,Meeting
24,1991-02-01,,-0.5,0,N,6.6,64.873,62.4462,meeting_end_date,Meeting
25,1991-03-01,,-0.5,0,0.5,6.8,64.887,62.119,meeting_end_date,Meeting
26,1991-05-01,,-0.5,0,N,6.9,65.274,62.8646,meeting_end_date,Meeting
27,1991-07-01,,-0.5,0,0.5,6.8,65.487,63.5128,meeting_end_date,Meeting
28,1991-08-01,,-0.5,0,N,6.9,65.639,63.5671,meeting_end_date,Meeting
29,1991-10-01,,-0.5,0,N,7.0,65.98899999999999,64.0213,meeting_end_date,Meeting
30,1991-11-01,,-0.5,0,N,7.0,66.133,63.948,meeting_end_date,Meeting
31,1991-12-01,,-0.5,0,N,7.3,66.29899999999999,63.6937,meeting_end_date,Meeting
32,1992-02-01,,-0.5,0,N,7.4,66.557,63.7911,meeting_end_date,Meeting
33,1992-03-01,,-0.5,0,0.5,7.4,66.718,64.3212,meeting_end_date,Meeting
34,1992-05-01,,-0.5,0,0.5,7.6,66.987,65.0202,meeting_end_date,Meeting
35,1992-07-01,,-0.5,0,0.5,7.7,67.328,65.6172,meeting_end_date,Meeting
36,1992-08-01,,-0.5,0,0.5,7.6,67.418,65.2943,meeting_end_date,Meeting
37,1992-10-01,,-0.5,0,N,7.3,67.767,65.9369,meeting_end_date,Meeting
38,1992-11-01,,-0.5,0,N,7.4,67.9,66.2174,meeting_end_date,Meeting
39,1992-12-01,,-0.5,0,0.5,7.4,68.018,66.2772,meeting_end_date,Meeting
40,1993-02-01,,-0.5,0,0.5,7.1,68.28699999999999,66.8594,meeting_end_date,Meeting
41,1993-03-01,,-0.5,0,0.5,7.0,68.42699999999999,66.7658,meeting_end_date,Meeting
42,1993-05-01,,-0.5,0,0.5,7.1,68.821,66.7674,meeting_end_date,Meeting
43,1993-07-01,,-0.5,0,0.5,6.9,68.954,67.0845,meeting_end_date,Meeting
44,1993-08-01,,-0.5,0,0.5,6.8,69.072,67.014,meeting_end_date,Meeting
45,1993-09-01,,-0.5,0,0.5,6.7,69.14399999999999,67.3345,meeting_end_date,Meeting
46,1993-11-01,,-0.5,0,0.5,6.6,69.493,68.1326,meeting_end_date,Meeting
47,1993-12-01,,-0.5,0,0.5,6.5,69.509,68.5054,meeting_end_date,Meeting
48,1994-02-01,,-0.5,0,0.5,6.6,69.693,68.7836,meeting_end_date,Meeting
49,1994-03-01,,N,0,0.5,6.5,69.885,69.4766,meeting_end_date,Meeting
50,1994-05-01,,N,0,0.25,6.1,70.069,70.2281,meeting_end_date,Meeting
51,1994-07-01,,N,0,0.25,6.1,70.462,70.7846,meeting_end_date,Meeting
52,1994-08-01,,N,0,0.25,6.0,70.623,71.2053,meeting_end_date,Meeting
53,1994-09-01,,N,0,0.25,5.9,70.702,71.4767,meeting_end_date,Meeting
54,1994-11-01,,N,0,0.5,5.6,70.957,72.5263,meeting_end_date,Meeting
55,1994-12-01,,N,0,0.5,5.5,71.003,73.2879,meeting_end_date,Meeting
56,1995-02-01,,N,0,0.5,5.4,71.27199999999998,73.3025,meeting_end_date,Meeting
57,1995-03-01,,-0.5,0,0.5,5.4,71.404,73.4081,meeting_end_date,Meeting
58,1995-05-01,,-0.5,0,0.5,5.6,71.702,73.6104,meeting_end_date,Meeting
59,1995-07-01,-25.0,-0.5,0,,5.7,71.862,73.5664,meeting_end_date,Meeting
60,1995-08-01,,-0.5,0,0.5,5.7,72.017,74.495,meeting_end_date,Meeting
61,1995-09-01,,-0.5,0,0.5,5.6,72.066,74.7937,meeting_end_date,Meeting
62,1995-11-01,,-0.5,0,0.5,5.6,72.251,74.8897,meeting_end_date,Meeting
63,1995-12-01,-25.0,-0.5,0,0.5,5.6,72.39,75.1755,meeting_end_date,Meeting
64,1996-01-01,-25.0,-0.25,0,0.25,5.6,72.551,74.6841,meeting_end_date,Meeting
65,1996-03-01,,-0.5,0,0.5,5.5,72.884,75.7631,meeting_end_date,Meeting
66,1996-05-01,,N,0,0.5,5.6,73.229,77.0161,meeting_end_date,Meeting
67,1996-07-01,,N,0,0.25,5.5,73.383,77.5662,meeting_end_date,Meeting
68,1996-08-01,,N,0,0.25,5.1,73.453,78.016,meeting_end_date,Meeting
69,1996-09-01,,N,0,0.5,5.2,73.66,78.5532,meeting_end_date,Meeting
70,1996-11-01,,-0.5,0,0.5,5.4,74.015,79.1996,meeting_end_date,Meeting
71,1996-12-01,,-0.5,0,0.5,5.4,74.1,79.7143,meeting_end_date,Meeting
72,1997-02-01,,N,0,0.5,5.2,74.352,80.793,meeting_end_date,Meeting
73,1997-03-01,25.0,N,0,0.5,5.2,74.43,81.334,meeting_end_date,Meeting
74,1997-05-01,,N,0,0.5,4.9,74.469,81.8293,meeting_end_date,Meeting
75,1997-07-01,,N,0,0.25,4.9,74.609,82.8557,meeting_end_date,Meeting
76,1997-08-01,,N,0,0.25,4.8,74.669,83.7214,meeting_end_date,Meeting
77,1997-09-01,,N,0,0.25,4.9,74.84899999999998,84.4651,meeting_end_date,Meeting
78,1997-11-01,,N,0,0.25,4.6,74.95,85.9397,meeting_end_date,Meeting
79,1997-12-01,,-0.25,0,0.25,4.7,74.934,86.2047,meeting_end_date,Meeting
80,1998-02-01,,-0.25,0,?,4.6,74.932,86.7612,meeting_end_date,Meeting
81,1998-03-01,,-0.25,0,0.25,4.7,74.944,86.8198,meeting_end_date,Meeting
82,1998-05-01,,N,0,0.25,4.4,75.14,87.6952,meeting_end_date,Meeting
83,1998-07-01,,N,0,0.25,4.5,75.262,86.8423,meeting_end_date,Meeting
84,1998-08-01,,-0.25,0,0.25,4.5,75.366,88.6247,meeting_end_date,Meeting
85,1998-09-01,-25.0,-0.25,0,N,4.6,75.322,88.4515,meeting_end_date,Meeting
86,1998-11-01,-25.0,-0.25,0,N,4.4,75.491,89.1098,meeting_end_date,Meeting
87,1998-12-01,,-0.25,0,0.25,4.4,75.567,89.4407,meeting_end_date,Meeting
88,1999-02-01,,-0.25,0,0.25,4.4,75.687,90.3386,meeting_end_date,Meeting
89,1999-03-01,,N,0,0.25,4.2,75.74600000000002,90.4819,meeting_end_date,Meeting
90,1999-05-01,,N,0,0.25,4.2,76.134,91.352,meeting_end_date,Meeting
91,1999-06-01,25.0,N,0,0.25,4.3,76.15,91.1994,meeting_end_date,Meeting
92,1999-08-01,25.0,N,0,0.25,4.2,76.486,92.1629,meeting_end_date,Meeting
93,1999-10-01,0.0,N,0,0.25,4.1,76.876,92.9979,meeting_end_date,Meeting
94,1999-11-01,25.0,N,0,0.25,4.1,76.943,93.4371,meeting_end_date,Meeting
95,1999-12-01,,N,0,0.25,4.0,77.128,94.1593,meeting_end_date,Meeting
96,2000-02-01,25.0,N,0,0.25,4.1,77.597,94.4557,meeting_end_date,Meeting
97,2000-03-01,25.0,N,0,0.25,4.0,77.928,94.79799999999999,meeting_end_date,Meeting
98,2000-05-01,50.0,N,N,0.25,4.0,77.906,95.6435,meeting_end_date,Meeting
99,2000-06-01,0.0,N,0,0.25,4.0,78.161,95.7353,meeting_end_date,Meeting
100,2000-08-01,0.0,N,0,0.25,4.1,78.34,95.3112,meeting_end_date,Meeting
101,2000-10-01,0.0,N,0,0.25,3.9,78.78699999999998,95.397,meeting_end_date,Meeting
102,2000-11-01,0.0,-0.25,0,0.25,3.9,78.888,95.4229,meeting_end_date,Meeting
103,2000-12-01,0.0,-0.25,0,0.25,3.9,78.991,95.1573,meeting_end_date,Meeting
104,2001-01-01,-50.0,-0.25,0,0,4.2,79.348,94.5448,meeting_end_date,Meeting
105,2001-03-01,-50.0,-0.5,-0.75,-0.25,4.3,79.462,93.7201,meeting_end_date,Meeting
106,2001-05-01,-50.0,-0.5,-0.25,-0.75,4.3,79.818,92.876,meeting_end_date,Meeting
107,2001-06-01,-25.0,0,-0.25,-0.5,4.5,79.962,92.3208,meeting_end_date,Meeting
108,2001-08-01,-25.0,0,-0.25,-0.5,4.9,79.929,91.6795,meeting_end_date,Meeting
109,2001-10-01,-50.0,-0.25,-0.25,N,5.3,79.952,90.9315,meeting_end_date,Meeting
110,2001-11-01,-50.0,0,-0.25,-0.5,5.5,79.903,90.486,meeting_end_date,Meeting
111,2001-12-01,-25.0,0,-0.25,-0.5,5.7,79.819,90.5073,meeting_end_date,Meeting
112,2002-01-01,0.0,0,-0.25,N,5.7,79.87899999999998,91.0794,meeting_end_date,Meeting
113,2002-03-01,0.0,-0.25,0,0.25,5.7,80.233,91.79799999999999,meeting_end_date,Meeting
114,2002-05-01,0.0,0,?,0.25,5.8,80.637,92.5668,meeting_end_date,Meeting
115,2002-06-01,0.0,0,-0.25,0.25,5.8,80.735,93.4476,meeting_end_date,Meeting
116,2002-08-01,0.0,0,-0.25,N,5.7,81.048,93.2359,meeting_end_date,Meeting
117,2002-09-01,0.0,0,-0.25,-0.5,5.7,81.191,93.3654,meeting_end_date,Meeting
118,2002-11-01,-50.0,0,-0.25,-0.5,5.9,81.423,93.5693,meeting_end_date,Meeting
119,2002-12-01,0.0,0,-0.25,N,6.0,81.494,93.1103,meeting_end_date,Meeting
120,2003-01-01,0.0,0,-0.25,N,5.8,81.71600000000002,93.8198,meeting_end_date,Meeting
121,2003-03-01,0.0,0,-0.25,-0.5,5.9,82.227,93.7358,meeting_end_date,Meeting
122,2003-05-01,0.0,0,-0.25,-0.5,6.1,81.95299999999997,93.0918,meeting_end_date,Meeting
123,2003-06-01,-25.0,-0.25,-0.5,0,6.3,82.03,93.2476,meeting_end_date,Meeting
124,2003-08-01,0.0,0,-0.25,N,6.1,82.529,93.5246,meeting_end_date,Meeting
125,2003-09-01,,,,,6.1,82.773,94.0751,meeting_end_date,Meeting
126,2003-09-01,0.0,0,-0.25,N,6.1,82.773,94.0751,meeting_end_date,Meeting
127,2003-10-01,0.0,0,-0.25,N,6.0,82.76700000000002,94.2079,meeting_end_date,Meeting
128,2003-12-01,0.0,0,-0.25,N,5.7,83.064,94.8662,meeting_end_date,Meeting
129,2004-01-01,0.0,0,-0.25,0.25,5.7,83.412,95.1085,meeting_end_date,Meeting
130,2004-03-01,0.0,0,0,0,5.8,83.74600000000002,95.2088,meeting_end_date,Meeting
131,2004-05-01,0.0,0,0,0.25,5.6,84.17200000000003,96.3966,meeting_end_date,Meeting
132,2004-06-01,25.0,0,0.25,0.5,5.6,84.415,95.6019,meeting_end_date,Meeting
133,2004-08-01,25.0,0,0.25,0.5,5.4,84.546,96.4095,meeting_end_date,Meeting
134,2004-09-01,25.0,0,0.25,0.25,5.4,84.714,96.4907,meeting_end_date,Meeting
135,2004-11-01,25.0,0,0.25,0.25,5.4,85.40299999999998,97.6137,meeting_end_date,Meeting
136,2004-12-01,25.0,0,0.25,0.25,5.4,85.446,98.3318,meeting_end_date,Meeting
137,2005-02-01,25.0,0,0.25,0.5,5.4,85.791,99.4639,meeting_end_date,Meeting
138,2005-03-01,25.0,0.25,0.25,0.5,5.2,86.038,99.3061,meeting_end_date,Meeting
139,2005-05-01,25.0,0.25,0.25,0.5,5.1,86.30799999999998,99.6033,meeting_end_date,Meeting
140,2005-06-01,25.0,0.25,0.25,0.5,5.0,86.35700000000001,99.9853,meeting_end_date,Meeting
141,2005-08-01,25.0,0.25,0.25,0.5,4.9,87.069,99.9435,meeting_end_date,Meeting
142,2005-09-01,25.0,0,0.25,N,5.0,87.905,98.0779,meeting_end_date,Meeting
143,2005-11-01,25.0,0,0.25,0.5,5.0,87.85,100.3216,meeting_end_date,Meeting
144,2005-12-01,25.0,N,0.25,0.25,4.9,87.851,100.9437,meeting_end_date,Meeting
145,2006-01-01,25.0,0.25,0.25,0.25,4.7,88.279,101.0627,meeting_end_date,Meeting
146,2006-03-01,25.0,0,0.25,0.25,4.7,88.473,101.2751,meeting_end_date,Meeting
147,2006-05-01,25.0,0,0.25,0.5,4.6,89.07,101.579,meeting_end_date,Meeting
148,2006-06-01,25.0,0,0.25,0.5,4.6,89.285,101.9693,meeting_end_date,Meeting
149,2006-08-01,0.0,0,0,0.25,4.7,89.885,102.3327,meeting_end_date,Meeting
150,2006-09-01,0.0,0,0,0.25,4.5,89.646,102.1252,meeting_end_date,Meeting
151,2006-10-01,0.0,0,0,0.25,4.4,89.428,102.0668,meeting_end_date,Meeting
152,2006-12-01,0.0,0,0,0.25,4.4,89.789,103.0292,meeting_end_date,Meeting
153,2007-01-01,0.0,0,0,0.25,4.6,90.109,102.4933,meeting_end_date,Meeting
154,2007-03-01,0.0,-0.25,0,0.25,4.4,90.715,103.7521,meeting_end_date,Meeting
