date,ebp_oa,gz spr
1973m1,0.0139,1.1102
1973m2,-0.0125,1.0467
1973m3,-0.0998,0.9925
1973m4,-0.1463,0.9544
1973m5,-0.0553,1.0112
1973m6,0.0339,1.1428
1973m7,-0.3535,0.9369
1973m8,-0.1968,0.9668
1973m9,-0.3368,0.7764
1973m10,0.1142,1.2224
1973m11,0.0461,1.3157
1973m12,-0.0243,1.2327
1974m1,-0.0528,1.1082
1974m2,0.1484,1.2394
1974m3,-0.1321,1.1564
1974m4,0.0328,1.1704
1974m5,0.0479,1.2118
1974m6,0.6174,1.7313
1974m7,1.0812,2.4124
1974m8,0.7058,1.8796
1974m9,0.7789,2.1188
1974m10,0.7898,2.2981
1974m11,0.8658,2.125
1974m12,0.989,2.4267
1975m1,0.315,1.6137
1975m2,0.3479,1.5246
1975m3,0.5304,1.7882
1975m4,0.1683,1.447
1975m5,0.305,1.5053
1975m6,0.1969,1.3767
1975m7,0.3297,1.4181
1975m8,0.2372,1.3904
1975m9,0.238,1.3366
1975m10,0.05,1.2651
1975m11,0.1435,1.2494
1975m12,-0.0713,1.1808
1976m1,-0.1421,0.9654
1976m2,-0.0561,1.0571
1976m3,-0.1015,0.9988
1976m4,-0.0485,1.0335
1976m5,-0.1263,1.0001
1976m6,-0.0426,0.9973
1976m7,-0.0791,0.9536
1976m8,-0.1548,0.8835
1976m9,-0.1874,0.8292
1976m10,-0.1162,0.9088
1976m11,-0.3227,0.8269
1976m12,-0.0108,1.1049
1977m1,-0.3148,0.969
1977m2,-0.1763,0.919
1977m3,-0.142,0.902
1977m4,-0.2248,0.8377
1977m5,-0.2189,0.7976
1977m6,-0.2435,0.8433
1977m7,-0.148,0.9147
1977m8,-0.1605,0.9707
1977m9,-0.1211,0.9888
1977m10,-0.1406,0.9817
1977m11,-0.1229,0.9778
1977m12,-0.3528,0.8049
1978m1,-0.3615,0.7766
1978m2,-0.3617,0.7307
1978m3,-0.3664,0.7411
1978m4,-0.3161,0.7454
1978m5,-0.2888,0.7808
1978m6,-0.4611,0.6323
1978m7,-0.3663,0.6303
1978m8,-0.398,0.6081
1978m9,-0.3336,0.6443
1978m10,-0.5422,0.5585
1978m11,-0.2937,0.6593
1978m12,-0.4424,0.6381
1979m1,-0.3045,0.6943
1979m2,-0.3494,0.6681
1979m3,-0.1988,0.6491
1979m4,-0.2372,0.6499
1979m5,-0.2933,0.7085
1979m6,-0.2075,0.7403
1979m7,-0.2652,0.6612
1979m8,-0.3545,0.578
1979m9,-0.1657,0.6931
1979m10,-0.8291,0.7038
1979m11,-0.1684,0.7602
1979m12,0.0907,0.8197
1980m1,-0.0891,0.8034
1980m2,-0.534,0.8624
1980m3,0.2231,0.9411
1980m4,-0.578,1.0881
1980m5,-0.0728,0.9142
1980m6,-0.1294,0.8556
1980m7,0.043,0.8822
1980m8,-0.0343,0.8377
1980m9,-0.0956,0.8883
1980m10,-0.2263,0.8433
1980m11,0.2705,0.9852
1980m12,-0.0062,1.0712
1981m1,0.337,1.0595
1981m2,0.0804,0.8557
1981m3,-0.0548,0.809
1981m4,0.5175,1.1294
1981m5,0.3287,1.1939
1981m6,0.4008,1.0693
1981m7,0.3932,1.0935
1981m8,0.2363,0.9857
1981m9,0.4127,1.1584
1981m10,0.5857,1.33
1981m11,0.2598,1.4904
1981m12,0.5904,1.4685
1982m1,0.7847,1.4903
1982m2,0.5552,1.4727
1982m3,0.9483,1.6392
1982m4,0.7964,1.6017
