DATE,PCEPI
1959-01-01,16.074
1959-02-01,16.089
1959-03-01,16.1
1959-04-01,16.132
1959-05-01,16.14
1959-06-01,16.186
1959-07-01,16.22
1959-08-01,16.244
1959-09-01,16.286
1959-10-01,16.326
1959-11-01,16.336
1959-12-01,16.355
1960-01-01,16.346
1960-02-01,16.363
1960-03-01,16.372
1960-04-01,16.432
1960-05-01,16.449
1960-06-01,16.456
1960-07-01,16.485
1960-08-01,16.513
1960-09-01,16.523
1960-10-01,16.542
1960-11-01,16.598
1960-12-01,16.601
1961-01-01,16.604
1961-02-01,16.62
1961-03-01,16.61
1961-04-01,16.6
1961-05-01,16.609
1961-06-01,16.617
1961-07-01,16.653
1961-08-01,16.667
1961-09-01,16.686
1961-10-01,16.685
1961-11-01,16.686
1961-12-01,16.69
1962-01-01,16.721
1962-02-01,16.767
1962-03-01,16.789
1962-04-01,16.808
1962-05-01,16.818
1962-06-01,16.829
1962-07-01,16.819
1962-08-01,16.844
1962-09-01,16.927
1962-10-01,16.909
1962-11-01,16.922
1962-12-01,16.914
1963-01-01,16.956
1963-02-01,16.974
1963-03-01,16.961
1963-04-01,16.96
1963-05-01,16.987
1963-06-01,17.024
1963-07-01,17.058
1963-08-01,17.081
1963-09-01,17.078
1963-10-01,17.111
1963-11-01,17.135
1963-12-01,17.161
1964-01-01,17.197
1964-02-01,17.221
1964-03-01,17.231
1964-04-01,17.245
1964-05-01,17.246
1964-06-01,17.271
1964-07-01,17.293
1964-08-01,17.306
1964-09-01,17.333
1964-10-01,17.343
1964-11-01,17.368
1964-12-01,17.393
1965-01-01,17.412
1965-02-01,17.419
1965-03-01,17.442
1965-04-01,17.469
1965-05-01,17.508
1965-06-01,17.559
1965-07-01,17.572
1965-08-01,17.576
1965-09-01,17.584
1965-10-01,17.59
1965-11-01,17.62
1965-12-01,17.684
1966-01-01,17.704
1966-02-01,17.778
1966-03-01,17.821
1966-04-01,17.883
1966-05-01,17.905
1966-06-01,17.95
1966-07-01,17.984
1966-08-01,18.053
1966-09-01,18.11
1966-10-01,18.158
1966-11-01,18.185
1966-12-01,18.222
1967-01-01,18.224
1967-02-01,18.245
1967-03-01,18.255
1967-04-01,18.285
1967-05-01,18.32
1967-06-01,18.379
1967-07-01,18.441
1967-08-01,18.499
1967-09-01,18.555
1967-10-01,18.606
1967-11-01,18.668
1967-12-01,18.698
1968-01-01,18.784
1968-02-01,18.861
1968-03-01,18.923
1968-04-01,18.982
1968-05-01,19.052
1968-06-01,19.113
1968-07-01,19.171
1968-08-01,19.25
1968-09-01,19.317
1968-10-01,19.402
1968-11-01,19.467
1968-12-01,19.508
1969-01-01,19.584
1969-02-01,19.633
1969-03-01,19.726
1969-04-01,19.812
1969-05-01,19.892
1969-06-01,19.989
1969-07-01,20.076
1969-08-01,20.132
1969-09-01,20.216
1969-10-01,20.285
1969-11-01,20.372
1969-12-01,20.465
1970-01-01,20.539
1970-02-01,20.62
1970-03-01,20.672
1970-04-01,20.776
1970-05-01,20.842
1970-06-01,20.896
1970-07-01,20.973
1970-08-01,21.028
1970-09-01,21.122
1970-10-01,21.227
1970-11-01,21.31
1970-12-01,21.405
1971-01-01,21.45
1971-02-01,21.513
1971-03-01,21.584
1971-04-01,21.669
1971-05-01,21.759
1971-06-01,21.855
1971-07-01,21.921
1971-08-01,21.985
1971-09-01,22.018
1971-10-01,22.052
1971-11-01,22.097
1971-12-01,22.184
1972-01-01,22.275
1972-02-01,22.363
1972-03-01,22.395
1972-04-01,22.429
1972-05-01,22.478
1972-06-01,22.513
1972-07-01,22.593
1972-08-01,22.659
1972-09-01,22.76
1972-10-01,22.786
1972-11-01,22.854
1972-12-01,22.927
1973-01-01,22.996
1973-02-01,23.117
1973-03-01,23.28
1973-04-01,23.454
1973-05-01,23.569
1973-06-01,23.704
1973-07-01,23.79
1973-08-01,24.064
1973-09-01,24.16
1973-10-01,24.296
1973-11-01,24.495
1973-12-01,24.697
1974-01-01,24.934
1974-02-01,25.224
1974-03-01,25.517
1974-04-01,25.697
1974-05-01,25.95
1974-06-01,26.17
1974-07-01,26.363
1974-08-01,26.639
1974-09-01,26.916
1974-10-01,27.108
1974-11-01,27.312
1974-12-01,27.528
1975-01-01,27.698
1975-02-01,27.849
1975-03-01,27.943
1975-04-01,28.039
1975-05-01,28.15
1975-06-01,28.326
1975-07-01,28.569
1975-08-01,28.693
1975-09-01,28.835
1975-10-01,29.003
1975-11-01,29.189
1975-12-01,29.35
1976-01-01,29.462
1976-02-01,29.5
1976-03-01,29.544
1976-04-01,29.611
1976-05-01,29.752
1976-06-01,29.882
1976-07-01,30.033
1976-08-01,30.199
1976-09-01,30.369
1976-10-01,30.528
1976-11-01,30.667
1976-12-01,30.839
1977-01-01,31.017
1977-02-01,31.26
1977-03-01,31.417
1977-04-01,31.6
1977-05-01,31.76
1977-06-01,31.937
1977-07-01,32.103
1977-08-01,32.253
1977-09-01,32.374
1977-10-01,32.524
1977-11-01,32.712
1977-12-01,32.87
1978-01-01,33.064
1978-02-01,33.218
1978-03-01,33.433
1978-04-01,33.686
1978-05-01,33.927
1978-06-01,34.149
1978-07-01,34.336
1978-08-01,34.509
1978-09-01,34.706
1978-10-01,34.981
1978-11-01,35.18
1978-12-01,35.345
1979-01-01,35.611
1979-02-01,35.802
1979-03-01,36.081
1979-04-01,36.457
1979-05-01,36.835
1979-06-01,37.138
1979-07-01,37.422
1979-08-01,37.708
1979-09-01,38.041
1979-10-01,38.351
1979-11-01,38.617
1979-12-01,38.942
1980-01-01,39.349
1980-02-01,39.776
1980-03-01,40.264
1980-04-01,40.475
1980-05-01,40.79
1980-06-01,41.047
1980-07-01,41.365
1980-08-01,41.711
1980-09-01,42.096
1980-10-01,42.434
1980-11-01,42.779
1980-12-01,43.057
1981-01-01,43.47
1981-02-01,43.91
1981-03-01,44.216
1981-04-01,44.409
1981-05-01,44.609
1981-06-01,44.787
1981-07-01,45.057
1981-08-01,45.338
1981-09-01,45.613
1981-10-01,45.82
1981-11-01,46.065
1981-12-01,46.208
1982-01-01,46.483
1982-02-01,46.622
1982-03-01,46.742
1982-04-01,46.766
1982-05-01,47.043
1982-06-01,47.384
1982-07-01,47.665
1982-08-01,47.813
1982-09-01,47.946
1982-10-01,48.215
1982-11-01,48.359
1982-12-01,48.432
1983-01-01,48.659
1983-02-01,48.741
1983-03-01,48.804
1983-04-01,49.027
1983-05-01,49.166
1983-06-01,49.349
1983-07-01,49.627
1983-08-01,49.84
1983-09-01,50.014
1983-10-01,50.099
1983-11-01,50.17
1983-12-01,50.198
1984-01-01,50.416
1984-02-01,50.755
1984-03-01,50.922
1984-04-01,51.115
1984-05-01,51.18
1984-06-01,51.271
1984-07-01,51.455
1984-08-01,51.613
1984-09-01,51.683
1984-10-01,51.805
1984-11-01,51.877
1984-12-01,52.023
1985-01-01,52.283
1985-02-01,52.527
1985-03-01,52.732
1985-04-01,52.808
1985-05-01,52.934
1985-06-01,53.078
1985-07-01,53.208
1985-08-01,53.384
1985-09-01,53.474
1985-10-01,53.563
1985-11-01,53.719
1985-12-01,53.9
1986-01-01,54.148
1986-02-01,54.148
1986-03-01,54.029
1986-04-01,53.918
1986-05-01,54.017
1986-06-01,54.218
1986-07-01,54.231
1986-08-01,54.3
1986-09-01,54.477
1986-10-01,54.575
1986-11-01,54.673
1986-12-01,54.746
1987-01-01,55.002
1987-02-01,55.195
1987-03-01,55.341
1987-04-01,55.547
1987-05-01,55.688
1987-06-01,55.899
1987-07-01,56.028
1987-08-01,56.25
1987-09-01,56.439
1987-10-01,56.618
1987-11-01,56.726
1987-12-01,56.831
1988-01-01,57.051
1988-02-01,57.135
1988-03-01,57.332
1988-04-01,57.611
1988-05-01,57.778
1988-06-01,58.024
1988-07-01,58.306
1988-08-01,58.479
1988-09-01,58.764
1988-10-01,58.956
1988-11-01,59.092
1988-12-01,59.277
1989-01-01,59.581
1989-02-01,59.779
1989-03-01,60.002
1989-04-01,60.402
1989-05-01,60.622
1989-06-01,60.755
1989-07-01,60.9
1989-08-01,60.907
1989-09-01,61.043
1989-10-01,61.281
1989-11-01,61.415
1989-12-01,61.593
1990-01-01,62.06
1990-02-01,62.333
1990-03-01,62.568
1990-04-01,62.699
1990-05-01,62.84
1990-06-01,63.118
1990-07-01,63.274
1990-08-01,63.695
1990-09-01,64.086
1990-10-01,64.453
1990-11-01,64.534
1990-12-01,64.595
1991-01-01,64.84
1991-02-01,64.873
1991-03-01,64.887
1991-04-01,65.004
1991-05-01,65.274
1991-06-01,65.384
1991-07-01,65.487
1991-08-01,65.639
1991-09-01,65.865
1991-10-01,65.989
1991-11-01,66.133
1991-12-01,66.299
1992-01-01,66.389
1992-02-01,66.557
1992-03-01,66.718
1992-04-01,66.899
1992-05-01,66.987
1992-06-01,67.107
1992-07-01,67.328
1992-08-01,67.418
1992-09-01,67.528
1992-10-01,67.767
1992-11-01,67.9
1992-12-01,68.018
1993-01-01,68.184
1993-02-01,68.287
1993-03-01,68.427
1993-04-01,68.609
1993-05-01,68.821
1993-06-01,68.845
1993-07-01,68.954
1993-08-01,69.072
1993-09-01,69.144
1993-10-01,69.362
1993-11-01,69.493
1993-12-01,69.509
1994-01-01,69.532
1994-02-01,69.693
1994-03-01,69.885
1994-04-01,69.968
1994-05-01,70.069
1994-06-01,70.241
1994-07-01,70.462
1994-08-01,70.623
1994-09-01,70.702
1994-10-01,70.822
1994-11-01,70.957
1994-12-01,71.003
1995-01-01,71.146
1995-02-01,71.272
1995-03-01,71.404
1995-04-01,71.592
1995-05-01,71.702
1995-06-01,71.772
1995-07-01,71.862
1995-08-01,72.017
1995-09-01,72.066
1995-10-01,72.253
1995-11-01,72.251
1995-12-01,72.39
1996-01-01,72.551
1996-02-01,72.665
1996-03-01,72.884
1996-04-01,73.103
1996-05-01,73.229
1996-06-01,73.228
1996-07-01,73.383
1996-08-01,73.453
1996-09-01,73.66
1996-10-01,73.883
1996-11-01,74.015
1996-12-01,74.1
1997-01-01,74.196
1997-02-01,74.352
1997-03-01,74.43
1997-04-01,74.503
1997-05-01,74.469
1997-06-01,74.565
1997-07-01,74.609
1997-08-01,74.669
1997-09-01,74.849
1997-10-01,74.946
1997-11-01,74.95
1997-12-01,74.934
1998-01-01,74.971
1998-02-01,74.932
1998-03-01,74.944
1998-04-01,75.037
1998-05-01,75.14
1998-06-01,75.076
1998-07-01,75.262
1998-08-01,75.366
1998-09-01,75.322
1998-10-01,75.487
1998-11-01,75.491
1998-12-01,75.567
1999-01-01,75.705
1999-02-01,75.687
1999-03-01,75.746
1999-04-01,76.096
1999-05-01,76.134
1999-06-01,76.15
1999-07-01,76.352
1999-08-01,76.486
1999-09-01,76.754
1999-10-01,76.876
1999-11-01,76.943
1999-12-01,77.128
2000-01-01,77.348
2000-02-01,77.597
2000-03-01,77.928
2000-04-01,77.851
2000-05-01,77.906
2000-06-01,78.161
2000-07-01,78.349
2000-08-01,78.34
2000-09-01,78.676
2000-10-01,78.787
2000-11-01,78.888
2000-12-01,78.991
2001-01-01,79.348
2001-02-01,79.458
2001-03-01,79.462
2001-04-01,79.605
2001-05-01,79.818
2001-06-01,79.962
2001-07-01,79.935
2001-08-01,79.929
2001-09-01,79.663
2001-10-01,79.952
2001-11-01,79.903
2001-12-01,79.819
2002-01-01,79.879
2002-02-01,80.011
2002-03-01,80.233
2002-04-01,80.58
2002-05-01,80.637
2002-06-01,80.735
2002-07-01,80.897
2002-08-01,81.048
2002-09-01,81.191
2002-10-01,81.342
2002-11-01,81.423
2002-12-01,81.494
2003-01-01,81.716
2003-02-01,82.039
2003-03-01,82.227
2003-04-01,82.063
2003-05-01,81.953
2003-06-01,82.03
2003-07-01,82.263
2003-08-01,82.529
2003-09-01,82.773
2003-10-01,82.767
2003-11-01,82.87
2003-12-01,83.064
2004-01-01,83.412
2004-02-01,83.608
2004-03-01,83.746
2004-04-01,83.898
2004-05-01,84.172
2004-06-01,84.415
2004-07-01,84.499
2004-08-01,84.546
2004-09-01,84.714
2004-10-01,85.077
2004-11-01,85.403
2004-12-01,85.446
2005-01-01,85.556
2005-02-01,85.791
2005-03-01,86.038
2005-04-01,86.266
2005-05-01,86.308
2005-06-01,86.357
2005-07-01,86.722
2005-08-01,87.069
2005-09-01,87.905
2005-10-01,88.038
2005-11-01,87.85
2005-12-01,87.851
2006-01-01,88.279
2006-02-01,88.323
2006-03-01,88.473
2006-04-01,88.85
2006-05-01,89.07
2006-06-01,89.285
2006-07-01,89.601
2006-08-01,89.885
2006-09-01,89.646
2006-10-01,89.428
2006-11-01,89.461
2006-12-01,89.789
2007-01-01,90.109
2007-02-01,90.394
2007-03-01,90.715
2007-04-01,90.906
2007-05-01,91.16
2007-06-01,91.352
2007-07-01,91.499
2007-08-01,91.558
2007-09-01,91.901
2007-10-01,92.162
2007-11-01,92.642
2007-12-01,92.855
2008-01-01,93.102
2008-02-01,93.298
2008-03-01,93.587
2008-04-01,93.785
2008-05-01,94.206
2008-06-01,94.876
2008-07-01,95.285
2008-08-01,95.204
2008-09-01,95.307
2008-10-01,94.727
2008-11-01,93.643
2008-12-01,93.139
2009-01-01,93.173
2009-02-01,93.363
2009-03-01,93.284
2009-04-01,93.432
2009-05-01,93.546
2009-06-01,94.1
2009-07-01,94.106
2009-08-01,94.378
2009-09-01,94.536
2009-10-01,94.899
2009-11-01,95.135
2009-12-01,95.175
2010-01-01,95.366
2010-02-01,95.351
2010-03-01,95.468
2010-04-01,95.507
2010-05-01,95.527
2010-06-01,95.474
2010-07-01,95.556
2010-08-01,95.684
2010-09-01,95.773
2010-10-01,96.057
2010-11-01,96.238
2010-12-01,96.456
2011-01-01,96.774
2011-02-01,97.054
2011-03-01,97.446
2011-04-01,97.854
2011-05-01,98.153
2011-06-01,98.136
2011-07-01,98.316
2011-08-01,98.555
2011-09-01,98.699
2011-10-01,98.705
2011-11-01,98.908
2011-12-01,98.965
2012-01-01,99.32
2012-02-01,99.556
2012-03-01,99.737
2012-04-01,99.873
2012-05-01,99.755
2012-06-01,99.701
