DATE,TEDRATE
1986-01-02,0.90
1986-01-03,0.99
1986-01-06,1.07
1986-01-07,1.09
1986-01-08,0.83
1986-01-09,1.01
1986-01-10,1.04
1986-01-13,1.13
1986-01-14,1.13
1986-01-15,1.06
1986-01-16,1.11
1986-01-17,1.08
1986-01-20,.
1986-01-21,1.17
1986-01-22,1.19
1986-01-23,1.22
1986-01-24,1.22
1986-01-27,1.17
1986-01-28,1.14
1986-01-29,1.03
1986-01-30,1.02
1986-01-31,1.09
1986-02-03,1.06
1986-02-04,1.08
1986-02-05,0.99
1986-02-06,0.90
1986-02-07,0.85
1986-02-10,0.92
1986-02-11,0.95
1986-02-12,0.95
1986-02-13,0.96
1986-02-14,1.04
1986-02-17,.
1986-02-18,0.98
1986-02-19,0.92
1986-02-20,0.89
1986-02-21,1.02
1986-02-24,0.98
1986-02-25,0.89
1986-02-26,0.93
1986-02-27,0.91
1986-02-28,0.86
1986-03-03,0.91
1986-03-04,0.91
1986-03-05,0.84
1986-03-06,1.00
1986-03-07,0.95
1986-03-10,0.95
1986-03-11,0.93
1986-03-12,0.82
1986-03-13,0.91
1986-03-14,0.96
1986-03-17,0.94
1986-03-18,0.96
1986-03-19,1.07
1986-03-20,1.12
1986-03-21,1.09
1986-03-24,1.15
1986-03-25,1.18
1986-03-26,1.15
1986-03-27,1.10
1986-03-28,.
1986-03-31,.
1986-04-01,0.98
1986-04-02,0.97
1986-04-03,0.98
1986-04-04,1.12
1986-04-07,1.01
1986-04-08,0.93
1986-04-09,0.87
1986-04-10,0.86
1986-04-11,0.92
1986-04-14,0.96
1986-04-15,1.00
1986-04-16,0.98
1986-04-17,0.72
1986-04-18,0.75
1986-04-21,0.82
1986-04-22,0.80
1986-04-23,0.72
1986-04-24,0.70
1986-04-25,0.80
1986-04-28,0.90
1986-04-29,0.79
1986-04-30,0.78
1986-05-01,0.76
1986-05-02,0.79
1986-05-05,.
1986-05-06,0.76
1986-05-07,0.77
1986-05-08,0.77
1986-05-09,0.79
1986-05-12,0.81
1986-05-13,0.97
1986-05-14,0.85
1986-05-15,0.83
1986-05-16,0.92
1986-05-19,0.92
1986-05-20,0.96
1986-05-21,0.86
1986-05-22,0.86
1986-05-23,0.88
1986-05-26,.
1986-05-27,0.90
1986-05-28,0.81
1986-05-29,0.76
1986-05-30,0.83
1986-06-02,0.76
1986-06-03,0.78
1986-06-04,0.67
1986-06-05,0.68
1986-06-06,0.87
1986-06-09,0.70
1986-06-10,0.84
1986-06-11,0.79
1986-06-12,0.84
1986-06-13,0.96
1986-06-16,0.91
1986-06-17,0.91
1986-06-18,0.91
1986-06-19,0.89
1986-06-20,0.96
1986-06-23,0.95
1986-06-24,0.92
1986-06-25,0.86
1986-06-26,0.92
1986-06-27,0.92
1986-06-30,0.92
1986-07-01,0.82
1986-07-02,0.81
1986-07-03,0.90
1986-07-04,.
1986-07-07,0.88
1986-07-08,0.81
1986-07-09,0.93
1986-07-10,0.90
1986-07-11,0.94
1986-07-14,0.92
1986-07-15,0.79
1986-07-16,0.79
1986-07-17,0.83
1986-07-18,0.92
1986-07-21,0.84
1986-07-22,0.83
1986-07-23,0.75
1986-07-24,0.82
1986-07-25,0.82
1986-07-28,0.74
1986-07-29,0.76
1986-07-30,0.71
1986-07-31,0.77
1986-08-01,0.67
1986-08-04,0.79
1986-08-05,0.79
1986-08-06,0.78
1986-08-07,0.78
1986-08-08,0.74
1986-08-11,0.77
1986-08-12,0.76
1986-08-13,0.68
1986-08-14,0.60
1986-08-15,0.63
1986-08-18,0.58
1986-08-19,0.63
1986-08-20,0.56
1986-08-21,0.63
1986-08-22,0.58
1986-08-25,.
1986-08-26,0.58
1986-08-27,0.43
1986-08-28,0.52
1986-08-29,0.64
1986-09-01,.
1986-09-02,0.43
1986-09-03,0.51
1986-09-04,0.62
1986-09-05,0.52
1986-09-08,0.76
1986-09-09,0.86
1986-09-10,0.78
1986-09-11,0.79
1986-09-12,1.02
1986-09-15,0.89
1986-09-16,0.93
1986-09-17,1.0
1986-09-18,0.83
1986-09-19,0.88
1986-09-22,0.88
1986-09-23,0.88
1986-09-24,0.88
1986-09-25,0.83
1986-09-26,0.82
1986-09-29,0.87
1986-09-30,0.92
1986-10-01,0.92
1986-10-02,0.87
1986-10-03,0.97
1986-10-06,0.89
1986-10-07,0.82
1986-10-08,0.84
1986-10-09,0.82
1986-10-10,0.82
1986-10-13,.
1986-10-14,0.80
