caldt,vwretd,vwindd,vwretx,vwindx,totval
19800102,-0.020089,130.175600,-0.020121,96.418950,1046300220.00
19800103,-0.006510,129.328200,-0.006525,95.789770,1038536290.00
19800104,0.013735,131.104600,0.013540,97.086810,1051879240.00
19800107,0.004369,131.677300,0.004279,97.502230,1056377230.00
19800108,0.019340,134.224000,0.019301,99.384160,1076381340.00
19800109,0.001714,134.454000,0.001617,99.544880,1077273710.00
19800110,0.008958,135.658400,0.008950,100.435800,1087250080.00
19800111,0.002361,135.978700,0.002337,100.670500,1090334230.00
19800114,0.003998,136.522400,0.003759,101.049000,1093973360.00
19800115,0.005925,137.331200,0.005845,101.639600,1100366380.00
19800116,0.000683,137.425000,0.000672,101.707900,1101091990.00
19800117,-0.001927,137.160100,-0.001942,101.510300,1099048650.00
19800118,0.002400,137.489300,0.002369,101.750800,1101519550.00
19800121,0.008928,138.716800,0.008859,102.652200,1111336840.00
19800122,-0.006371,137.833100,-0.006412,101.994000,1104074980.00
19800123,0.015326,139.945500,0.015290,103.553400,1120855960.00
19800124,0.003041,140.371000,0.003023,103.866500,1123824110.00
19800125,-0.000166,140.347800,-0.000343,103.830900,1123369690.00
19800128,0.010314,141.795300,0.009918,104.860700,1134475810.00
19800129,-0.005532,141.010900,-0.005806,104.251900,1127611550.00
19800130,0.010758,142.527900,0.010599,105.356800,1139404340.00
19800131,-0.006642,141.581300,-0.006815,104.638800,1130708920.00
19800201,0.007284,142.612500,0.007167,105.388800,1137943420.00
19800204,-0.004598,141.956800,-0.005934,104.763400,1128027040.00
19800205,0.002471,142.307700,0.002223,104.996300,1133750580.00
19800206,0.009265,143.626200,0.008706,105.910400,1143607620.00
19800207,0.005055,144.352200,0.004705,106.408700,1149106200.00
19800208,0.013678,146.326600,0.013117,107.804500,1163719170.00
19800211,-0.006879,145.320100,-0.007014,107.048300,1152153810.00
19800212,0.006227,146.225000,0.006227,107.714900,1162789030.00
19800213,0.002573,146.601200,0.002423,107.975900,1165596440.00
19800214,-0.014436,144.485000,-0.014551,106.404800,1148609420.00
19800215,-0.008113,143.312700,-0.008512,105.499100,1138845680.00
19800219,-0.006289,142.411500,-0.006489,104.814500,1131248490.00
19800220,0.015708,144.648400,0.015513,106.440500,1148613660.00
19800221,-0.008052,143.483700,-0.008177,105.570100,1139429420.00
19800222,-0.003617,142.964600,-0.003661,105.183600,1135223080.00
19800225,-0.013514,141.032600,-0.014847,103.622000,1118361600.00
19800226,0.006311,141.922700,0.005920,104.235400,1125216090.00
19800227,-0.011478,140.293700,-0.011574,103.029000,1112270980.00
19800228,0.000233,140.326400,0.000100,103.039200,1112739960.00
19800229,0.009930,141.719800,0.009741,104.043000,1123302510.00
19800303,-0.008626,140.497300,-0.008962,103.110500,1113241580.00
19800304,-0.000181,140.471900,-0.000593,103.049300,1112639390.00
19800305,-0.014992,138.365900,-0.015039,101.499500,1096011450.00
19800306,-0.023723,135.083400,-0.023841,99.079730,1069996010.00
19800307,-0.017405,132.732300,-0.017491,97.346690,1051304120.00
19800310,-0.008084,131.659300,-0.008616,96.507990,1042288020.00
19800311,0.012893,133.356800,0.012468,97.711240,1055315310.00
19800312,-0.006550,132.483300,-0.006592,97.067150,1048678390.00
19800313,-0.010131,131.141100,-0.010165,96.080420,1037888560.00
19800314,-0.003340,130.703100,-0.003462,95.747750,1034541160.00
19800317,-0.031946,126.527700,-0.032017,92.682160,1001397870.00
19800318,0.014168,128.320300,0.014056,93.984920,1015190170.00
19800319,0.004809,128.937500,0.004780,94.434140,1020083950.00
19800320,-0.010289,127.610800,-0.010321,93.459470,1009577400.00
19800321,-0.007213,126.690400,-0.007223,92.784420,1002277060.00
19800324,-0.031109,122.749200,-0.031204,89.889140,971086870.00
19800325,-0.005046,122.129800,-0.005345,89.408730,966285495.00
19800326,-0.005467,121.462100,-0.005553,88.912280,960962650.00
19800327,-0.018623,119.200200,-0.018691,87.250400,942495975.00
19800328,0.030149,122.793900,0.029912,89.860220,970692549.00
19800331,0.015188,124.658900,0.015104,91.217440,984015287.00
19800401,0.003701,125.120300,0.003656,91.550930,988898323.00
19800402,0.008570,126.192600,0.008538,92.332600,996712152.00
19800403,-0.003685,125.727600,-0.003861,91.976080,993615685.00
19800407,-0.019375,123.291600,-0.019463,90.185910,974224152.00
19800408,0.010763,124.618600,0.010744,91.154860,984778191.00
19800409,0.019665,127.069300,0.019559,92.937740,1004037670.00
19800410,0.009389,128.262300,0.009350,93.806740,1013833450.00
19800411,-0.000828,128.156200,-0.000861,93.725990,1012743910.00
