caldt,spindx,sprtrn
19800102,105.76,-0.020196
19800103,105.22,-0.005106
19800104,106.52,0.012355
19800107,106.81,0.002722
19800108,108.95,0.020036
19800109,109.05,0.000918
19800110,109.89,0.007703
19800111,109.92,0.000273
19800114,110.38,0.004185
19800115,111.14,0.006885
19800116,111.05,-0.000810
19800117,110.70,-0.003152
19800118,111.07,0.003342
19800121,112.10,0.009273
19800122,111.51,-0.005263
19800123,113.44,0.017308
19800124,113.70,0.002292
19800125,113.61,-0.000792
19800128,114.85,0.010915
19800129,114.07,-0.006791
19800130,115.20,0.009906
19800131,114.16,-0.009028
19800201,115.12,0.008409
19800204,114.37,-0.006515
19800205,114.66,0.002536
19800206,115.72,0.009245
19800207,116.28,0.004839
19800208,117.95,0.014362
19800211,117.12,-0.007037
19800212,117.90,0.006660
19800213,118.44,0.004580
19800214,116.72,-0.014522
19800215,115.41,-0.011223
19800219,114.60,-0.007018
19800220,116.47,0.016318
19800221,115.28,-0.010217
19800222,115.04,-0.002082
19800225,113.33,-0.014864
19800226,113.98,0.005735
19800227,112.38,-0.014038
19800228,112.35,-0.000267
19800229,113.66,0.011660
19800303,112.50,-0.010206
19800304,112.78,0.002489
19800305,111.13,-0.014630
19800306,108.65,-0.022316
19800307,106.90,-0.016107
19800310,106.51,-0.003648
19800311,107.78,0.011924
19800312,106.87,-0.008443
19800313,105.62,-0.011696
19800314,105.43,-0.001799
19800317,102.26,-0.030067
19800318,104.10,0.017993
19800319,104.31,0.002017
19800320,103.12,-0.011408
19800321,102.31,-0.007855
19800324,99.28,-0.029616
19800325,99.19,-0.000907
19800326,98.68,-0.005142
19800327,98.22,-0.004662
19800328,100.68,0.025046
19800331,102.09,0.014005
19800401,102.18,0.000882
19800402,102.68,0.004893
19800403,102.15,-0.005162
19800407,100.19,-0.019187
19800408,101.20,0.010081
19800409,103.11,0.018874
19800410,104.08,0.009407
19800411,103.79,-0.002786
19800414,102.84,-0.009153
19800415,102.63,-0.002042
19800416,101.54,-0.010621
19800417,101.05,-0.004826
19800418,100.55,-0.004948
19800421,99.80,-0.007459
19800422,103.43,0.036373
19800423,103.73,0.002901
19800424,104.40,0.006459
19800425,105.16,0.007280
19800428,105.64,0.004564
19800429,105.86,0.002083
19800430,106.29,0.004062
19800501,105.46,-0.007809
19800502,105.58,0.001138
19800505,106.38,0.007577
19800506,106.25,-0.001222
19800507,107.18,0.008753
19800508,106.13,-0.009797
